	country	beer_servings	spirit_servings	wine_servings	total_litres_of_pure_alcohol	population	continent	consumo
0	Afghanistan	0	0	0	0.0	34.660.000	Asia	baixo
1	Albania	89	132	54	4.9	2.876.000	Europe	Alto
2	Algeria	25	0	14	0.7	40.061.000	Africa	baixo
3	Andorra	245	138	312	12.4	77.281.000	Europe	Alto
4	Angola	217	57	45	5.9	28.081.000	Africa	Alto
5	Antigua & Barbuda	102	128	45	4.9	86.295	North America	Alto
6	Argentina	193	25	221	8.3	43.085.000	South America	Alto
7	Armenia	21	179	11	3.8	2.925.000	Europe	baixo
8	Australia	261	72	212	10.4	24.013.000	Oceania	Alto
9	Austria	279	75	191	9.7	8.725.111	Europe	Alto
10	Azerbaijan	21	46	5	1.3	9.654.900	Europe	baixo
11	Bahamas	122	176	51	6.3	368.390	North America	Alto
12	Bahrain	42	63	7	2.0	1.359.800	Asia	baixo
13	Bangladesh	0	0	0	0.0	159.145.000	Asia	baixo
14	Barbados	143	173	36	6.3	285.000	North America	Alto
15	Belarus	142	373	42	14.4	9.485.300	Europe	Alto
16	Belgium	295	84	212	10.5	11.250.659	Europe	Alto
17	Belize	263	114	8	6.8	368.310	North America	Alto
18	Benin	34	4	13	1.1	10.315.244	Africa	baixo
19	Bhutan	23	0	0	0.4	765.650	Asia	baixo
20	Bolivia	167	41	8	3.8	11.410.651	South America	Alto
21	Bosnia-Herzegovina	76	173	8	4.6	3.791.622	Europe	Alto
22	Botswana	173	35	35	5.4	2.070.984	Africa	Alto
23	Brazil	245	145	16	7.2	207.660.929	South America	Alto
24	Brunei	31	2	1	0.6	393.372	Asia	baixo
25	Bulgaria	231	252	94	10.3	7.202.198	Europe	Alto
26	Burkina Faso	25	7	7	4.3	18.450.494	Africa	baixo
27	Burundi	88	0	0	6.3	9.823.827	Africa	Alto
28	Cote d'Ivoire	37	1	7	4.0	22.671.331	Africa	baixo
29	Cabo Verde	144	56	16	4.0	524.833	Africa	Alto
30	Cambodia	57	65	1	2.2	15.405.157	Asia	baixo
